"id","code","name","account_type","reconcile","chart_template_id/id","tag_ids/id"
"chart22102","221.02","VAT naliczony bieżący","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_B"
"chart22103","221.03","VAT naliczony odroczony","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_B"
"chart22104","221.04","VAT należny odroczony","liability_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22108","221.08","Rozliczenie z urzędem skarbowym podatku VAT - zobowiązania","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22109","221.09","Rozliczenie z urzędem skarbowym podatku VAT - należności","asset_receivable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_B"
"chart231","231","Rozrachunki z pracownikami z tytułu wynagrodzeń","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_H"
"chart23401","234.01","Inne rozrachunki z pracownikami - zobowiązania","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_I"
"chart23402","234.02","Inne rozrachunki z pracownikami - należności","asset_receivable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_C"
"chart242","242","Rozliczenie inwentaryzacji","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_C"
"chart24901","249.01","Inne rozrachunki Ubezpieczenie pracowników","liability_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_II_3_E"
"chart24902","249.02","Inne rozrachunki Ubezpieczenia należności z rozliczeń za szkody","asset_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_C"
"chart24903","249.03","Inne rozrachunki Potrącenia od pracowników","liability_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_II_3_E"
"chart2499","249.9","Inne rozrachunki Pozostałe konto techniczne","liability_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_II_3_E"
"chart25001","250.01","Rozrachunki z akcjonariuszami i udziałowcami z tytułu dywidend","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_I"
"chart25002","250.02","Rozrachunki z akcjonariuszami i udziałowcami z tytułu kapitału","asset_receivable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_C"
"chart27001","270.01","Odpisy aktualizujace należności","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_A_1"
"chart27011","270.11","Odpisy aktualizujące materiały","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_1"
"chart27012","270.12","Odpisy aktualizujące towary","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_4"
"chart27013","270.13","Odpisy aktualizujące produkty","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_3"
"chart300","300","Rozliczenie zakupu","asset_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_4"
"chart302","302","Rozliczenie sprzedazy","asset_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_4"
"chart310","310","Materiały","asset_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_1"
"chart330","330","Towary handlowe","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_4"
"chart34001","340.01","Odchylenia od cen ewidencyjnych materiałów","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_I_1"
